NIM,Tahun_Masuk,Jalur_Masuk,UKT,IPK_Lulus,IP_Sem1,IP_Sem2,IP_Sem3,IP_Sem4,Kehadiran,Penggunaan_Lentera,SKS_Lulus_Sem3,SKS_Lulus_Sem4,MK_Mengulang_Sem3,MK_Mengulang_Sem4,Cuti,Semester_Lulus,Kelulusan
SI20210001,2021,Mandiri,Kategori 3,2.75,3.04,3.44,3.27,3.57,80.7,5.7,58.0,82.0,0,0,Tidak,7,Tepat Waktu
SI20220002,2022,Tes,Kategori 5,3.26,2.8,3.59,3.45,5.2,78.9,5.0,58.0,80.0,1,2,Tidak,9,Tidak Tepat Waktu
SI20230003,2023,Mandiri,Kategori 1,3.18,3.03,2.6,3.45,3.71,82.1,3.2,55.0,77.0,2,2,Tidak,11,tepat waktu
SI20210004,2021,Tes,Kategori 3,3.62,3.11,3.85,3.65,3.88,94.2,8.4,60.0,82.0,2,2,Tidak,8,Tepat Waktu
SI20220005,2022,Tes,Kategori 1,3.62,3.46,3.67,3.75,3.64,93.5,12.0,60.0,82.0,1,1,Tidak,7,Tepat Waktu
SI20230006,2023,Tes,Kategori 6,3.37,3.11,3.51,3.25,3.41,87.0,7.8,61.0,82.0,1,1,Tidak,8,Tepat Waktu
SI20210007,2021,Tes,Kategori 5,3.05,2.96,,2.82,3.41,86.2,4.9,,,2,1,Ya,10,Tidak Tepat Waktu
SI20230008,2023,Tes,Kategori 3,3.49,3.25,3.72,3.59,3.56,75.6,3.7,61.0,83.0,1,1,Tidak,8, Tepat Waktu 
SI20220009,2022,Tes,Kategori 5,3.46,3.1,3.52,3.43,3.87,88.6,,60.0,82.0,1,2,Ya,8,Tidak Tepat Waktu
SI20230010,2023,Tes,Kategori 5,3.8,3.67,3.97,3.86,3.77,90.9,12.0,63.0,87.0,0,0,Tidak,8,Tepat Waktu
SI20220011,2022,Mandiri,Kategori 4,2.99,2.93,2.88,3.08,2.95,84.7,4.9,52.0,64.0,2,6,Tidak,9,Tidak Tepat Waktu
SI20220012,2022,Tes,Kategori 4,2.93,2.98,2.71,2.67,3.27,86.1,8.2,48.0,67.0,2,3,Tidak,12,Tidak Tepat Waktu
SI20210013,2021,Tes,Kategori 4,2.75,2.67,2.37,2.71,2.78,83.2,5.6,44.0,58.0,1,3,Tidak,10,Tidak Tepat Waktu
SI20230014,2023,Tes,Kategori 3,3.48,3.27,3.65,3.7,3.41,88.3,6.8,59.0,78.0,2,3,Tidak,7,Tepat Waktu
SI20210015,2021,Mandiri,Kategori 2,3.41,3.24,3.33,3.31,3.84,85.7,8.5,58.0,82.0,0,0,Tidak,8,Tepat Waktu
SI20220016,2022,Prestasi,Kategori 4,2.75,2.46,2.56,2.91,2.73,77.0,3.4,43.0,55.0,3,4,Tidak,12,Tidak Tepat Waktu
SI20220017,2022,Tes,Kategori 4,2.97,3.03,3.01,2.92,3.01,80.2,3.6,51.0,72.0,1,1,Tidak,9,Tidak Tepat Waktu
SI20220018,2022,Prestasi,Kategori 4,3.32,3.08,-0.5,3.46,3.29,77.8,4.0,50.0,70.0,1,3,Tidak,10,Tidak Tepat Waktu
SI20230019,2023,Mandiri,Kategori 2,2.99,2.57,,3.48,3.05,99.9,10.6,,,1,2,Tidak,8,Tepat Waktu
SI20230020,2023,prestasi,,3.7,3.65,3.77,3.6,3.77,81.8,11.6,62.0,85.0,0,0,Tidak,8,Tepat Waktu
SI20210021,2021,Tes,Kategori 3,3.6,3.39,3.84,3.67,3.59,92.1,6.8,60.0,82.0,1,1,Tidak,8,Tepat Waktu
SI20210022,2021,Tes,Kategori 5,3.58,3.8,3.51,3.26,3.76,81.2,7.7,62.0,85.0,0,0,Tidak,7,Tepat Waktu
SI20210023,2021,Prestasi,Kategori 5,3.01,3.22,3.42,2.7,2.95,,2.8,54.0,70.0,0,1,Tidak,9,Tidak Tepat Waktu
SI20220024,2022,Mandiri,Kategori 4,3.44,3.91,3.61,3.42,2.97,79.5,3.0,59.0,75.0,2,1, YA ,9,Tidak Tepat Waktu
SI20210025,2021,Mandiri,Kategori 3,3.27,3.09,3.17,3.42,3.35,72.6,,60.0,80.0,1,2,Tidak,7,Tepat Waktu
SI20230026,2023,Mandiri,Kategori 3,3.28,3.21,3.21,3.11,3.93,73.9,3.7,60.0,83.0,0,1,Tidak,10,Tidak Tepat Waktu
SI20210027,2021,Tes,Kategori 3,3.33,3.37,3.24,3.32,3.29,81.9,4.7,58.0,76.0,3,4,Tidak,9,Tidak Tepat Waktu
SI20210028,2021,Tes,Kategori 5,3.18,2.77,3.23,3.36,3.28,80.2,5.4,53.0,74.0,2,2,Tidak,13,Tidak Tepat Waktu
SI20220029,2022,,Kategori 4,3.28,2.91,4.8,3.43,3.49,83.5,,58.0,78.0,1,2,tidak,8,Tepat Waktu
SI20230030,2023,Mandiri,Kategori 4,2.98,2.47,2.94,3.13,3.25,74.5,4.8,50.0,69.0,1,2,Tidak,9,Tidak Tepat Waktu
SI20230031,2023,Prestasi,Kategori 5,3.21,3.04,3.1,3.32,3.48,78.9,4.6,56.0,74.0,2,3,Tidak,10,Tidak Tepat Waktu
SI20230032,2023,Tes,Kategori 2,3.24,3.15,3.18,3.3,3.38,85.9,6.9,58.0,81.0,0,0,Tidak,8,Tepat Waktu
SI20220033,2022,Mandiri ,Kategori 3,3.28,3.45,3.12,2.95,3.49,87.8,6.5,52.0,73.0,0,2,Tidak,10,Tidak Tepat Waktu
SI20220034,2022,Mandiri,,,2.95,3.33,2.86,3.1,-8.0,6.8,50.0,70.0,1,2,Ya,10,Tidak Tepat Waktu
SI20210035,2021,Tes,Kategori 4,2.94,3.22,2.92,2.85,2.84,80.8,11.6,48.0,63.0,2,3,Tidak,12,Tidak Tepat Waktu
SI20220036,2022,Tes,Kategori 4,3.58,3.59,3.97,3.09,3.78,73.6,7.6,60.0,80.0,2,3,Tidak,8,Tepat Waktu
SI20220037,2022,Tes,Kategori 1,3.29,3.52,3.26,3.25,3.15,88.0,6.7,59.0,80.0,2,2,Tidak,14,Tidak Tepat Waktu
SI20220038,2022,Tes,Kategori 4,2.98,2.47,2.94,3.34,3.15,68.5,2.6,47.0,66.0,2,3,Tidak,14,Tidak Tepat Waktu
SI20210039,2021,Prestasi,Kategori 4,3.23,3.28,3.08,3.0,3.62,79.8,0.5,54.0,74.0,1,3,Tidak,12,Tidak Tepat Waktu
SI20220040,2022,Tes,Kategori 4,3.32,3.3,3.28,3.2,3.57,84.9,3.7,59.0,83.0,1,0,Tidak,8,tepat waktu
SI20230041,2023,Tes,Kategori 4,2.75,2.67,2.73,3.05,2.33,77.6,5.0,48.0,57.0,4,5,Tidak,9,Tidak Tepat Waktu
SI20220042,2022,Tes,Kategori 3,3.06,3.04,2.93,2.95,3.23,87.3,7.2,49.0,67.0,2,4,Tidak,9,Tidak Tepat Waktu
SI20210043,2021,Tes,Kategori 5,3.79,3.7,3.86,3.95,3.67,96.5,6.5,63.0,86.0,0,0,Tidak,7,Tepat Waktu
SI20210044,2021,Prestasi,Kategori 4,3.49,3.22,3.7,3.68,3.38,86.9,7.0,62.0,82.0,1,2,Tidak,7,Tepat Waktu
SI20210045,2021,Mandiri,Kategori 4,3.71,,3.47,3.64,3.89,76.6,5.6,,,0,0,Tidak,7,Tepat Waktu
SI20210046,2021,Prestasi,Kategori 3,3.15,3.24,3.1,3.19,3.09,84.3,5.4,57.0,77.0,2,3,Tidak,11,Tidak Tepat Waktu
SI20220047,2022,Tes,Kategori 3,3.76,3.9,3.54,3.83,3.77,95.1,8.5,62.0,85.0,0,0,Tidak,7,Tepat Waktu
SI20230048,2023,Mandiri,Kategori 5,3.0,3.23,2.92,2.93,2.9,76.1,3.4,47.0,61.0,3,4,Tidak,9,Tidak Tepat Waktu
SI20230049,2023,Tes,Kategori 2,3.47,3.85,3.26,3.22,3.68,94.1,5.3,62.0,86.0,0,0,Tidak,8,TIDAK TEPAT WAKTU
SI20210050,2021,Tes,Kategori 6,2.75,2.62,2.58,2.34,2.56,74.8,1.0,44.0,56.0,3,4,Tidak,9,Tidak Tepat Waktu
SI20210051,2021,Mandiri,Kategori 3,3.03,,3.12,3.0,3.15,85.6,5.6,,,2,3,Tidak,14,Tidak Tepat Waktu
SI20230052,2023,Prestasi,Kategori 3,3.03,3.08,3.31,2.86,,80.2,6.1,50.0,,3,3,Tidak,13,Tidak Tepat Waktu
SI20210053,2021,Mandiri,Kategori 4,2.81,2.85,2.89,2.53,3.0,89.7,10.7,47.0,62.0,1,3,Tidak,11,Tidak Tepat Waktu
SI20220054,2022,Prestasi,Kategori 5,3.25,3.04,2.93,3.64,3.44,90.6,6.5,58.0,79.0,1,0,Tidak,8,Tepat Waktu
SI20210055,2021,Tes,Kategori 5,3.13,2.93,3.25,3.01,3.35,80.1,2.8,55.0,74.0,2,3,Tidak,9,Tidak Tepat Waktu
SI20220056,2022,Mandiri,Kategori 3,2.82,2.29,2.76,3.27,2.83,80.1,5.9,49.0,62.0,3,5,Tidak,9,Tidak Tepat Waktu
SI20230057,2023,Mandiri,Kategori 4,3.39,3.39,3.37,3.56,3.47,,6.6,57.0,75.0,3,4,Tidak,9,Tidak Tepat Waktu
SI20220058,2022,Tes,Kategori 5,3.3,3.17,2.94,3.54,3.59,91.2,6.7,58.0,79.0,1,2,Tidak,8,Tepat Waktu
SI20220059,2022,Mandiri,Kategori 3,3.2,2.97,3.5,3.23,3.19,82.4,6.2,55.0,76.0,1,1,Tidak,9,Tidak Tepat Waktu
SI20220060,2022,Prestasi,Kategori 5,,3.48,3.06,3.01,3.18,80.9,6.9,56.0,73.0,3,4,Tidak,7,Tepat Waktu
SI20220061,2022,Prestasi,Kategori 4,3.36,3.38,3.33,3.4,3.47,,6.6,58.0,80.0,1,1,Tidak,8,Tepat Waktu
SI20220062,2022,Prestasi,Kategori 7,2.75,2.74,2.75,2.38,2.5,75.1,5.8,44.0,58.0,2,3,Tidak,10,Tidak Tepat Waktu
SI20220063,2022,Tes,Kategori 3,3.6,4.0,3.49,3.37,3.6,78.4,4.2,60.0,83.0,1,1,Tidak,7,Tepat Waktu
SI20210064,2021,Mandiri,Kategori 5,2.85,3.06,2.67,3.2,2.56,80.5,0.2,54.0,68.0,2,3,Tidak,10,Tidak Tepat Waktu
SI20230065,2023,Tes,Kategori 3,2.84,2.75,2.93,2.75,-1.0,83.5,5.3,49.0,58.0,2,3,Tidak,12,Tidak Tepat Waktu
SI20220066,2022,Tes,Kategori 2,3.28,3.19,3.54,3.01,,83.9,6.6,58.0,,2,2,Ya,8,Tidak Tepat Waktu
SI20210067,2021,Mandiri,Kategori 3,3.19,3.04,3.07,3.21,3.46,81.3,5.2,55.0,74.0,2,3,Tidak,7,Tepat Waktu
SI20230068,2023,Prestasi,Kategori 4,3.47,3.42,,3.45,3.65,81.1,9.0,,,1,1,Tidak,8,Tepat Waktu
SI20210069,2021,Mandiri,Kategori 4,,2.37,2.23,2.78,2.7,,4.8,40.0,51.0,4,6, YA ,13,Tidak Tepat Waktu
SI20220070,2022,Tes,Kategori 4,3.77,3.59,3.57,3.89,3.88,95.3,12.0,64.0,87.0,0,1, TIDAK ,8,Tepat Waktu
SI20220071,2022,Tes,Kategori 5,3.44,3.07,3.58,3.27,3.66,92.4,6.4,60.0,82.0,1,2,Tidak,7,Tepat Waktu
SI20220072,2022,Tes,Kategori 4,3.36,3.51,3.34,3.15,3.57,96.1,6.8,59.0,81.0,1,2,Tidak,7,Tepat Waktu
SI20220073,2022,Mandiri,Kategori 4,2.78,3.28,2.64,2.59,2.77,71.9,1.8,51.0,63.0,3,4,Tidak,12,Tidak Tepat Waktu
